practised,test_acc,run_acc,timestamp
2000,0.72,0.748,1789240383320
4000,0.7422,0.766,1789240862248
6000,0.8111,0.8,1789241356050
8000,0.7844,0.794,1789241838891
10000,0.7556,0.834,1789242282316
12000,0.8267,0.838,1789242721361
14000,0.8267,0.82,1789243147221
16000,0.8156,0.816,1789243584265
18000,0.8489,0.844,1789244031591
20000,0.8533,0.856,1789244473875
22000,0.8467,0.86,1789244885626
24000,0.8178,0.886,1789245303288
26000,0.8422,0.884,1789245720136
28000,0.8333,0.856,1789246141408
30000,0.8378,0.868,1789246565277
32000,0.8644,0.874,1789246979332
34000,0.8489,0.88,1789247394130
36000,0.84,0.894,1789247808781
38000,0.8467,0.88,1789248208436
40000,0.86,0.866,1789248619070
42000,0.8622,0.862,1789249021736
44000,0.84,0.876,1789249429373
46000,0.8422,0.868,1789249844956
48000,0.8867,0.888,1789250260734
50000,0.8778,0.868,1789250676739
52000,0.8622,0.89,1789251093324
54000,0.88,0.868,1789251504383
56000,0.8444,0.872,1789251916446
58000,0.86,0.894,1789252320332
60000,0.8311,0.86,1789252728438
62000,0.8867,0.886,1789253127881
64000,0.8822,0.868,1789253524639
66000,0.8867,0.888,1789253927783
68000,0.8756,0.894,1789254328431
70000,0.8556,0.904,1789254733558
72000,0.88,0.902,1789255138157
74000,0.8711,0.898,1789255542622
76000,0.8711,0.904,1789255944161
78000,0.8778,0.908,1789256344545
80000,0.8667,0.9,1789256744624
82000,0.8844,0.882,1789257148465
84000,0.8933,0.886,1789257560137
86000,0.8756,0.92,1789257983487
88000,0.9022,0.9,1789258377870
90000,0.88,0.892,1789258781442
92000,0.8667,0.884,1789259188442
94000,0.8778,0.892,1789259596655
96000,0.8933,0.916,1789259997942
98000,0.9,0.916,1789260413397
100000,0.8867,0.918,1789260825673
102000,0.88,0.908,1789261241322
104000,0.8822,0.892,1789261648276
106000,0.8889,0.906,1789262061226
108000,0.8778,0.89,1789262483345
110000,0.8511,0.902,1789262900535
110217,0.8956,0.89,1789263006942
